	3
ENCFF702IWR	5
ENCFF135BMZ	1
ENCFF141YBL	5
ENCFF069GRI	6
ENCFF288HWP	6
ENCFF498QFP	5
ENCFF083ELT	6
ENCFF249WKV	1
ENCFF867YFT	1
ENCFF090EZE	2
ENCFF017NBX	7
ENCFF561DJM	6
ENCFF367MHB	6
ENCFF519PNO	6
ENCFF419BLQ	2
ENCFF751LHL	5
ENCFF622JVD	5
ENCFF922TBR	6
ENCFF630MXI	5
ENCFF047HXB	6
ENCFF104JJN	1
ENCFF233ORX	4
ENCFF950KRY	6
ENCFF774SBP	3
ENCFF766YIL	6
ENCFF508ADO	1
ENCFF151SBP	5
ENCFF575XEK	7
ENCFF414NAA	6
ENCFF073UDC	4
ENCFF769HIL	7
ENCFF376RIO	6
ENCFF475NUL	6
ENCFF162XBG	1
ENCFF208JGB	4
ENCFF412KRU	6
ENCFF264JCE	7
ENCFF479JXO	1
ENCFF123CTY	4
ENCFF300WUQ	6
ENCFF882QOT	5
ENCFF871GME	7
ENCFF427FTE	7
ENCFF094FZF	6
ENCFF568EAH	4
ENCFF121CVF	5
ENCFF225GCE	5
ENCFF116YEY	5
ENCFF401VUP	1
ENCFF462ZLK	6
ENCFF667COT	1
ENCFF146VLD	6
ENCFF049FUZ	4
ENCFF540ITV	1
ENCFF080JZX	6
ENCFF312ZWZ	6
ENCFF967WSX	1
ENCFF068ZBX	4
ENCFF859IBW	1
ENCFF792NVL	1
ENCFF154NSS	6
ENCFF915DFR	2
ENCFF802LRO	4
ENCFF062BSK	4
ENCFF678EIG	4
ENCFF410TTD	7
ENCFF410CYG	1
ENCFF095HIQ	4
ENCFF848BGL	5
ENCFF415UET	1
ENCFF782PXH	5
ENCFF037ZSW	6
ENCFF745RLH	4
ENCFF068YUS	7
ENCFF547ZQF	4
ENCFF951HWM	7
